message_function_code-1001,party_id-3039,product_number-7140,location_code-3225,start,end,quantity_value-6060,quantity_qualifier-6063,message
Z48,9985046000001,1-1:1.29.0,50120962218,2024-11-30 23:00:00,2024-11-30 23:15:00,0.063,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-11-30 23:15:00,2024-11-30 23:30:00,0.007,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-11-30 23:30:00,2024-11-30 23:45:00,0.005,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-11-30 23:45:00,2024-12-01 00:00:00,0.013,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 00:00:00,2024-12-01 00:15:00,0.016,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 00:15:00,2024-12-01 00:30:00,0.024,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 00:30:00,2024-12-01 00:45:00,0.01,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 00:45:00,2024-12-01 01:00:00,0.011,67,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 01:00:00,2024-12-01 01:15:00,0.011,67,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 01:15:00,2024-12-01 01:30:00,0.011,67,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 01:30:00,2024-12-01 01:45:00,0.011,67,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 01:45:00,2024-12-01 02:00:00,0.004,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 02:00:00,2024-12-01 02:15:00,0.008,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 02:15:00,2024-12-01 02:30:00,0.149,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 02:30:00,2024-12-01 02:45:00,2.244,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
Z48,9985046000001,1-1:1.29.0,50120962218,2024-12-01 02:45:00,2024-12-01 03:00:00,3.615,220,MSCONS_TL_9905048000007_9985046000001_20250109_CS0000000GAZ6F.json
